Team_1,Team_2,Ground,toss_winner,Bat,Winner,Toss
Pakistan,Bangladesh,Karachi,Pakistan,first,Pakistan,win
England,NewZealand,Manchester,England,2nd,England,win
West Indies,Australia,Bridgetown,West Indies,2nd,West Indies,win
Netherlands,Kenya,Belfast,Netherlands,first,Netherlands,loss
Ireland,Scotland,Belfast,Ireland,2nd,Ireland,loss
Canada,Netherlands,Belfast,Canada,2nd,Canada,loss
Scotland,Bermuda,Belfast,Scotland,2nd,Scotland,win
Kenya,Canada,Belfast,Kenya,2nd,Kenya,loss
Ireland,Bermuda,Belfast,Ireland,first,Ireland,win
Ireland,Kenya,Belfast,Ireland,2nd,Ireland,win
Netherlands,Scotland,Belfast,Netherlands,2nd,Netherlands,win
Scotland,Kenya,Belfast,Scotland,2nd,Scotland,loss
Canada,Bermuda,Belfast,Canada,2nd,Canada,win
Sri Lanka,Zimbabwe,King City (NW),Sri Lanka,2nd,Sri Lanka,win
Pakistan,Canada,King City (NW),Pakistan,first,Pakistan,win
Pakistan,Sri Lanka,King City (NW),Pakistan,2nd,Pakistan,win
Pakistan,Zimbabwe,King City (NW),Pakistan,2nd,Pakistan,loss
Sri Lanka,Canada,King City (NW),Sri Lanka,first,Sri Lanka,win
Zimbabwe,Canada,King City (NW),Zimbabwe,first,Zimbabwe,loss
Sri Lanka,Pakistan,King City (NW),Sri Lanka,2nd,Sri Lanka,win
South Africa,Bangladesh,Johannesburg,South Africa,first,South Africa,loss
NewZealand,West Indies,Hamilton,NewZealand,first,NewZealand,win
Australia,South Africa,Melbourne,Australia,first,Australia,win
Australia,South Africa,Brisbane,Australia,2nd,Australia,loss
India,Sri Lanka,Colombo (RPS),India,2nd,India,loss
Australia,NewZealand,Sydney,Australia,first,Australia,win
NewZealand,India,Christchurch,NewZealand,2nd,NewZealand,win
NewZealand,India,Wellington,NewZealand,2nd,NewZealand,win
West Indies,England,Port of Spain,West Indies,2nd,West Indies,win
South Africa,Australia,Johannesburg,South Africa,2nd,South Africa,win
South Africa,Australia,Centurion,South Africa,first,South Africa,loss
Pakistan,Australia,Dubai (DSC),Pakistan,2nd,Pakistan,win
Netherlands,England,Lords,Netherlands,2nd,Netherlands,win
NewZealand,Scotland,The Oval,NewZealand,2nd,NewZealand,win
West Indies,Australia,The Oval,West Indies,2nd,West Indies,loss
India,Bangladesh,Nottingham,India,first,India,win
South Africa,Scotland,The Oval,South Africa,first,South Africa,loss
England,Pakistan,The Oval,England,first,England,loss
Ireland,Bangladesh,Nottingham,Ireland,2nd,Ireland,win
Sri Lanka,Australia,Nottingham,Sri Lanka,2nd,Sri Lanka,win
Pakistan,Netherlands,Lords,Pakistan,first,Pakistan,win
